date,value,@OBS_STATUS,freq,ref_area,indicator,unit_mult,time_format
1956,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1957,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1958,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1959,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1960,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1961,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1962,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1963,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1964,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1965,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1966,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1967,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1968,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1969,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1970,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1971,0.999999999916667,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1972,1,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1973,0.999999999916667,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1974,23.7193640227995,B,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1975,46.4387280455991,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1976,46.4387280455991,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1977,46.4387280455991,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1978,46.4387280455991,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1979,46.4387280455991,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1980,46.4387280455991,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1981,46.4387280455991,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1982,46.4387280455991,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1983,46.4387280455991,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1984,46.4387280726884,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1985,46.4387280920379,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1986,46.4387280920379,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1987,46.4387280920379,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1988,46.4387280920379,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1989,46.4387280920379,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1990,46.4387280920379,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1991,46.4387280920379,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1992,46.4387280920379,B,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1993,46.4387280920379,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1994,46.4387280920379,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1995,49.8383333333333,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1996,46.8375,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1997,50.57,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1998,41.5075,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1999,41.9025,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2000,40.9025,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2001,48.591908993784,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2002,61.7541666666667,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2003,59.3788333333333,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2004,54.9058333333333,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2005,57.0958333333333,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2006,58.0133333333333,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2007,61.2722222222222,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2008,63.2075,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2009,68.2866666666667,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2010,71.4033333333333,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2011,72.2266666666667,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2012,73.5147720797721,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2013,77.52,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2014,83.8925,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2015,86.1883665716999,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2016,94.4272435897436,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2017,112.706666666667,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2018,144.055575801282,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2019,186.429744551072,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2020,191.517957643463,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2021,166.153700752442,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
2022,152.933756840022,,A,LR,ENDA_XDC_USD_RATE,0,P1Y
1950,0.003753999999,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
1951,0.003340999999,,A,VE,ENDA_XDC_USD_RATE,0,P1Y
